path,category,tracked_status,size_bytes,sha256,required_for_fresh_clone,safe_to_commit,reason,owner_decision_required,duplicate_conflict_relationship
DEPENDENCY_AUDIT.md,S,untracked,1199,60a8b866354e1b0bc6d22fc87072f27747984f05aad14e92536714b54a4e84c7,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
DEPENDENCY_LOCK_VERIFICATION.md,G,untracked,4541,93bfe04f87fb0658b3c428eb1f78f14e3d7cfa39f2c4a507d9f67a21e1522c7d,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
DEVELOPMENT_BACKLOG.md,S,untracked,6646,2bbd161fe68bcd2373ad0c94eda6f1b7835aec31f06dbdb9079c768ff3590c60,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
DOSE_NORMALIZATION_POLICY.md,S,untracked,4717,f2337a8a7af7234e6f57bb379b43d8249e550c692b690b8b8e652e455f160ceb,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
DOSE_UNIT_AUDIT.md,S,untracked,632,5f2aadb77a78c33b8e51afc8d849335d463d264d13fd7cad9e555d21822c1500,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
DOSE_UNIT_NORMALIZATION_POLICY.md,S,untracked,809,e124d34f31bd00d178679ca67e48445dc359b4b27da207e0aea43123a3c7ed74,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
ENGINEERING_MASTER_PLAN.md,S,untracked,7024,d184ff6b9140c5b3cc0e4197fab56f6c84ecea6869eca43b99aed1df4b292c38,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
ENGINEERING_RETROSPECTIVE.md,S,untracked,4085,ad89b2a0cdb5bd3bd109d6c3fd09632138543f76c335e41bb5b5de8ebdc95f73,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
ENTERPRISE_ARCHITECTURE_REVIEW.md,S,untracked,8062,72fa25ad33077a7b52340ee70e3af8fbbd34326843ad95301358dcc0565fee74,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
ENVIRONMENT_REPRODUCTION_REPORT.md,S,untracked,881,8d4d67c9d67578200fbbd637017dc98ceb68c1aad012671333682ab03e9d79c6,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
EXECUTIVE_SUMMARY.md,S,untracked,11003,00047be2438a1df1b5c514fbc432d66f64ce2a63cd91be7bc39330aaf8605c38,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
GITIGNORE_VALIDATION_REPORT.md,G,untracked,4748,0d1d5ad7314c7d468c093ac244e5b8abae4acc7c56efddeb0e89650030fc7138,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
GOLDEN_DATASET_FAILURE_ANALYSIS.md,S,untracked,2860,a56ca12bfefaf71737be18bc36da5edc17e3861d0dd371d72568b1057c575bea,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
GOLDEN_DATASET_SPECIFICATION.md,S,untracked,14704,d829d2755200c5c9e3472e9e85851b81a5b7f8b90aa4a10e87345a7ec27ef634,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
GOVERNANCE_CONSISTENCY_REPORT.md,G,untracked,869,5c7fffc7df6673e8c70ff1984c27ac8361d0d38f09ea187d6d5511d1253f1a16,no,yes,governance documentation,no,
GOVERNANCE_SOURCE_OF_TRUTH.md,G,untracked,845,50fc1241d2937ebe45fbc2bb6c70d6063f3f88c5879b2fdfd167b2bd329bd938,no,yes,governance documentation,no,
HANDOFF.md,S,untracked,9542,55f2453b61caef38f2a0d479ade91d39852ed0cfde492578010a3c06ac4acdf4,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
KB_IDENTITY_SPECIFICATION.md,S,untracked,1985,f70c3e8771d8004b476c35b153557f85e52c5ccad3760bab8f38db5700e31d46,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
KB_VERSIONING_MIGRATION_PLAN.md,S,untracked,1074,f5c023f2d518cce9dfdc19de61f9f48f4e01d1dc8f99744bdbb36bebc011a8e8,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
KB_VERSIONING_RCA.md,S,untracked,985,fce12fd2644d940393ca6eadebc07f5252d9829b85968d3986611306543bbb90,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
KNOWLEDGE_AUDIT_MODEL.md,S,untracked,6727,4d363b6176788109ed0b9794a987acfa32fcd5e345a9d8e46d390b65ace8117c,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
KNOWLEDGE_COVERAGE.md,S,untracked,2848,5e96edc410e57199e9fa256b0c9e279e72ebcc885cc98e40af3a5891be242d6d,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
KNOWLEDGE_PLATFORM_MIGRATION_RFC.md,S,untracked,8087,184659751b984e9f5889c23363fca18b4f426252ba781b00d6c62853a80f673e,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
KNOWLEDGE_TO_REGIMEN_PIPELINE.md,S,untracked,5315,062a7767eb449759a33204138a5f8e2ae61ffffbe4836da3685b4ac8989fedd2,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
MIGRATION_PLAN_NORMALIZED_REGIMENS.md,S,untracked,6814,d58960114674413aea57677a92904872fded7c12d96b2a88b6ca967220a35db6,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
NEXT_TASK.md,G,untracked,28308,594852e783080dc80fc679011bdbfad34313c32f5b8c897173a37864e9aaee3e,no,yes,governance documentation,no,
P0-1_Implementation_Report.md,S,untracked,5302,da44ea10d7cd2cba2aebb9368b201409ca51f55c6f362412ecd89b7c13f8c47a,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P0-2_Implementation_RFC.md,S,untracked,9703,17743d7c5d5b9e820639d13f8c8caff13e2c58213b4edda0d0aee89e06d22d02,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P0-2_Reader_Analysis.md,S,untracked,11368,7776bb92b9f39f0164a577b9c7853952c477bd1b018aac70f7f2bf17d162daf8,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P0-3_Bundle_Loader_Analysis.md,S,untracked,11797,3626e61f64dc3dc828db69ddc41441933164d818b59b1fd2f6b02b5608cf66df,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P0-3_Bundle_Loader_Implementation_RFC.md,S,untracked,6674,3c6307b396290f142d137ccd6240a70af7f5bcf063e1364cd1d0240a24578f96,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P0-4_Checklist.md,S,untracked,2928,4a5789ffff1ef657839b0ec2b7771c303c594a588c0b53cf8010971bcd61197b,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P0_COMPLETION_REPORT.md,S,untracked,9274,29173bd8755c8704dcfcd067e2004548782e8b57d8e4b2651d7be34a8eba93b7,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P0_Phase_Gate_Review.md,S,untracked,2744,416fbd5973d99b13c40cbb0c8f86419648b6cbd5ee8033e1a30346a8b0f492de,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P1-B_Diagnosis_Terminology_Analysis.md,S,untracked,4601,f74462f325248c85e9a1547431971812ab0671195309b755bf5aea227b1950ec,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P1-B_Diagnosis_Terminology_Implementation_RFC.md,S,untracked,17716,36e5b4f6adfd6e129b5c3ecdd3e7c79d43df5020ae08ed04395e00897a756fbe,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P1_Terminology_Analysis.md,S,untracked,4527,25ca883cd7ceaa67a49cbdc562fc0c2760b4c58bc676683070309d3084d9abf8,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P1_Terminology_Implementation_RFC.md,S,untracked,7307,dae5f4efb0c2b0f28402453842bd9ad3b3129d634ea061741e14e11a4688214c,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P2-1_Conformance_Validator_Analysis.md,S,untracked,4293,e8878538e934065115715a36ec6aab01692ea40cd1c544326f6302aa799edce6,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P2-1_Conformance_Validator_Implementation_RFC.md,S,untracked,4756,f6a35add284a6baf8b29e0cdaad8bf49bd854819071dd1e2bf4a532c8a5079f1,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P2-2_Coverage_Metrics_Analysis.md,S,untracked,3185,2eacf21bcbe7b7b9a667620793e0b5d810d2b1bd81255b1552be287e4308daf0,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P4.3_PRODUCTION_AUDIT.md,S,untracked,4332,f64810f48e0ae0d02dcde8ab5899c3281346e12814aa9453aedd92db88246f5f,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P4.4_PRODUCTION_AUDIT.md,S,untracked,1643,830e511c76a228b0af4c3e1bffe820059c24b025c7fce8e0a11ebdddab243c21,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P4.4_PRODUCTION_KNOWLEDGE_BASE_REPORT.md,S,untracked,4279,8ce87009906cc58bb0772dfd61f5a6c1932f6d710a5810f113ffc5f32cb957b2,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P4.5_PRODUCTION_AUDIT.md,S,untracked,15161,aebb45a1c1ef278cd006dfb4f7559a477e187bbf5e3bf8c80fc76a9a400db2be,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.3_DECISION_RECORD.md,S,untracked,4485,659659e3b61ab9717d4c15d2400902f5b41d31c37f38122064a5ca72ae916a40,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.3_IMPLEMENTATION_AUDIT.md,S,untracked,10011,a453479f181ec7ecbf98a9629bf047a0d55a50f9cdc373227fa452801c53cab2,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.3_IMPLEMENTATION_REPORT.md,S,untracked,6122,c528a3d60d212bb45e9d9ae52125ed216a60a626df3a495dc18f1eb45ead0a3e,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.4_IMPLEMENTATION_REPORT.md,S,untracked,6852,1dedf00cd1ecd119d624be8fd36661436a873911ca57e8ebd9862b45ced4689a,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.5_IMPLEMENTATION_REPORT.md,S,untracked,7291,65acc0f354e001edaf5173b57a859ac50ad6158abe04d64f45183817edcf2c1d,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.6_OWNER_RECOVERY_FINAL_REPORT.md,G,untracked,10345,3de3f6cd4115ebe482049a9efaf894dc66441118b4209e3b5e15e164ae692308,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P5.6_PRODUCTION_RECOVERY_REPORT.md,S,untracked,2917,a20299a497ca70d8d31a058b81416269319bf7f3185b485707c2a07e3c1df8b8,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.6_RC027_FINAL_REPORT.md,S,untracked,7430,5cb6b4ac9850baeb1e051075b7bfd315234f19d5047a0ef74266a2ad9c0b74a7,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.6_RECOVERY_BASELINE.md,S,untracked,6912,0829663ff0876806fb0b194ea025fcfe9612a2678dd5a2da6b15a1ef0ee56f1e,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P5.6_REVIEW_WORKBENCH_REPORT.md,S,untracked,2160,2a0d6b103be149b85f64ad13cf5e10321c340a92aa8509c063e87d39bb25ebba,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
P56_OWNER_RECOVERY_BASELINE.md,G,untracked,4717,ce34dcae2914354fefb24b37ef16c45198127af648574c97c7b7402ee6a04db2,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P56_PRE_RECOVERY_FILE_MANIFEST.json,G,untracked,72722,a4a9f471ce475b3d43d5359cd76969dd60dd2b70ccf99d4f6c81eb08359a4ba3,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P56_PRE_RECOVERY_HASHES.txt,G,untracked,33813,2371a41b007286e9f1afe192f8174a31448972107381eb340997d0e4d59b45fb,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P56_PROPOSED_IGNORED_FILES.txt,G,untracked,11617,16e56ff63debe9e090a1a2bcd29d8f5a2295c337cfe164ab6c1745e6a9b533ca,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P56_PROPOSED_OWNER_DECISIONS.md,G,untracked,11882,b7cf601e0cc6750e5071846f77f046660270a2a1aae930901410eeda6e2acc21,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P56_PROPOSED_TRACKED_FILES.txt,G,untracked,16430,73a2ae098bc9ab85172a154882fe40afc99c7b55f2feab1ad2d1dc3e23164288,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P56_RECOVERY_ROLLBACK_PLAN.md,G,untracked,3407,788ea1e9860a920d4d74945456ad88d22cc629024f725737b5a6f8f7d49e1f8d,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
P5_MIGRATION_MASTER_PLAN.md,S,untracked,14379,806fd3b049438e6154d19a8395d40cd11c8a61a56ff17f7b171165d98f078548,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PHYSICIAN_PILOT_POLICY.md,S,untracked,3322,d43e6c39af66c9685fc22110ae610b7c9b49cfc048fbb3538cef918d722eb6d9,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PHYSICIAN_REVIEW_PILOT_GUIDE.md,S,untracked,6529,b2f2c9e2da7f10666eab9a73569fbd4f29e3aafd19cb6914a11e693d350e73b1,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PHYSICIAN_VALIDATION_GUIDE.md,S,untracked,5685,e25679d6479e7ee54058328e994729bbe9edcc333c677536b364091519f2f897,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PILOT_REVIEW_BATCH_REPORT.md,S,untracked,6458,33e552877e1193ab7286ff0c994bd95e5df22314999427139e77e8afb4c707ac,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PILOT_REVIEW_BATCH_V2_REPORT.md,S,untracked,4029,a0d31daae2545b68e17e62dd0361fbab541f2af5b6ffe4222fb08e6f814e401b,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PRODUCTION_QA_PROGRAM.md,S,untracked,36744,78ea753a1b802e8ddfd36345c35e160224e125a625b8f36026ada71368e3a5f2,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PRODUCTION_READINESS_AUDIT_2026-07-15.md,S,untracked,35482,c59addb04d2dc690c1e3daab7fd8635ab541bb5d886204635a9afbfe206b4af2,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PRODUCTION_READINESS_PROGRAM.md,S,untracked,11496,d83c975e6833c6fba31d2b975d999e6abc1b7a3d92074fcf626d925a48c6f9d2,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PRODUCTION_SCORECARD.md,S,untracked,7802,25275f201adbe08119a6d2f4109688ab1e000909e6621b5bfa36f608dc54bee4,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
PROJECT_STATE.md,G,untracked,37457,ce66afbd74710e39404b19e25bd6f94e111bc1657490e2249b2a1a3c78d8255c,no,yes,governance documentation,no,
PROVENANCE_CERTIFICATION.md,S,untracked,4939,9c82c9f4cbc3e83715ab453a966bf272a1a1a1725f105366ee2b6dd2d609a4be,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
